기사 타이틀,본문
"국민연금, 수책위 패싱하고 한전 사장 선임안 자체 찬성표 던져","[








서한기 기자
기자 페이지






최혜영 의원 ""수책위에 넘기지 않고 단독 결정해 문제 생기면 누가 책임지나""







임시주총 입장하는 한전 주주들
(나주=연합뉴스) 천정인 기자 = 18일 오전 전남 나주시 빛가람동 한국전력 본사에서 김동철 신임 사장에 대한 선임안을 의결하기 위한 임시 주주총회가 열렸다. 사진은 주총장에 입장하는 주주들의 모습. 2023.9.18 iny@yna.co.kr




 (서울=연합뉴스) 서한기 기자 = 국민연금이 지난 18일 열린 한국전력공사(한전) 임시주주총회에 상정된 김동철 사장 선임 안건에 찬성표를 던진 것으로 뒤늦게 확인됐다.
 국민연금은 지난 6월말 기준으로 한전 지분 6.55%를 가진 주요주주다.
 이 과정에서 국민연금은 민감한 주총 안건에 대한 의결권 행사 방향을 대부분 정하는 국민연금기금운용위원회 산하 수탁자책임전문위원회를 거치지 않고 기금운용본부 자체 판단으로 찬성한 것으로 나타났다.

광고



 22일 국회 보건복지위원회 최혜영 의원실이 국민연금공단에서 받은 '한국전력공사 사장 임명 관련 국민연금 의결권 행사 결과' 자료를 보면 연금공단은 김동철 전 의원을 사장으로 선임하는 안건이 올라온 한전 임시주총에서 찬성으로 의결권을 행사했다.
 기금운용본부 주주권행사팀 관계자는 ""자체 의결권 자문기관인 한국ESG연구소, 한국ESG기준원으로부터 한전 사장 선임안건에 대해 찬성 권고를 받고 의결권을 행사했다""고 설명했다.
 하지만 외부의 주요한 의결권 자문사는 기관투자자들에게 반대 권고를 했던 것으로 나타나 논란이 일 것으로 보인다.
 금융투자업계에 따르면 의결권 자문사이자 ESG(환경·사회책임·지배구조) 평가기관인 서스틴베스트는 김 전 의원의 사장 선임 안건에 대해 반대 의견을 냈다.
 서스틴베스트는 한전의 재무 상태가 악화하고 사업 방향이 중요해지는 현시점에서 김 전 의원의 경영 능력을 검증할 정보가 부족해 반대를 권고했다고 설명했다.
 일반적으로 국민연금의 주주권과 의결권은 원칙적으로 실무투자기구인 기금운용본부의 내부 투자위원회가 행사하고 외부 의결권 자문사의 권고를 반드시 따라야 할 필요는 없다.
 그렇지만, 한전 사장 선임건과 같이 의결권 행사의 찬성 또는 반대 등을 판단하기 곤란하고 논란이 예상되는 주총 안건은 자체적으로 판단해 의결권을 행사하기보다는 수책위에 맡기는 경우가 흔하다.
 수탁자책임전문위는 2018년 7월 말 국민연금이 주주권행사의 투명성·독립성 제고를 위해 수탁자책임에 관한 원칙인 스튜어드십 코드를 도입하면서 구성한 조직이다.
 외부의 민간 전문가들로 구성된 수책위는 '안건 부의 요구권'이란 강력한 권한을 가지고 있다. 민간 전문위원 3명 이상의 요구로 이사 선임이나 합병 등 주요 주총 안건에 대한 찬성, 반대, 중립 등 의사 결정권을 행사할 수 있다.
 정부는 전문성 강화를 명분으로 지난 3월 수책위 상근 3명, 비상근 위원 6명 등 위원 9명 모두를 가입자(사용자·근로자·지역가입자)단체로부터 추천받도록 한 운영 규정을 바꿔 비상근위원 6명 중 3명은 전문가 단체 등으로부터 추천받도록 변경했다.
 최혜영 의원은 ""막대한 부채로 어려움에 부닥친 한전 사장에 사실상 비전문가 정치인을 선임하는 데 대해 자문사 간의 찬반이 엇갈린다면 기금운용본부가 단독으로 결정할 게 아니라 수책위에 넘겨서 판단을 받는 것이 맞는다고 생각한다""며 ""기금본부가 또다시 삼성물산 때처럼 수책위에 넘기지 않고 독단적으로 결정해 문제가 발생한다면 누가 책임질 것인가""라고 지적했다.
 한전은 현재 200조원이 넘는 막대한 부채로 심각한 재무 위기에 빠져 있다.
 이런 한전의 최대 주주는 지난 6월말 기준 산업은행으로 32.9%의 지분을 갖고 있다. 최대 주주의 특수관계인인 정부가 보유한 지분 18.2%를 합치면 51.1%로 과반이 넘는다.
 한전 사장은 '공공기관의 운영에 관한 법률'에 따라 임원추천위원회가 복수 추천하면 정부 공공기관운영위원회 심의·의결과 한전 이사회 및 주총을 거쳐 산업통상자원부 장관 제청으로 대통령이 최종 임명한다.
 김 전 의원은 광주 광산구에서 4선(17∼20대)을 하며 정치 이력 대부분을 민주당 계열 정당에 몸담았지만, 20대 대선 당시 국민의힘 윤석열 후보를 도와 선대위 후보 특별고문 겸 새시대준비위원회 지역화합본부장을 맡았다.
 윤석열 대통령 당선 후에는 대통령직인수위원회 국민통합위원회 부위원장으로 일했다.
 제22대 한전 사장으로 취임한 김 사장은 1961년 한전 주식회사 발족 후 62년 만에 탄생한 첫 정치인 출신 최고경영자(CEO)다.






김동철 신임 한전 사장 취임사
(나주=연합뉴스) 천정인 기자 = 20일 오전 전남 나주시 빛가람동 한국전력 본사에서 김동철 신임 사장이 취임사를 하고 있다. 2023.9.20 iny@yna.co.kr




 shg@yna.co.kr


관련기사



""빚더미 한전, 시중 절반 금리로 사내대출…올 상반기 219억""(종합)
김동철 ""국제유가·환율 급등에 전기요금 정상화 반드시 필요""(종합)
'200조 빚' 한전 구원투수 '정치인 김동철'…재무위기 극복 과제
한국전력, 임시주총서 김동철 사장 선임…첫 정치인 출신 CEO
""전기료 올리면서 자회사 배 불린 한전…한전KPS 잉여금 1.2조""




제보는 카카오톡 okjebo
&lt;저작권자(c) 연합뉴스,
무단 전재-재배포 금지&gt;
2023/09/22 06:00 송고

]"
차없는 잠수교 축제·책읽는 서울광장서 지역 농특산물 판매,"[








김준태 기자
기자 페이지











책 읽는 서울광장
[연합뉴스 자료사진]




 (서울=연합뉴스) 김준태 기자 = 서울시는 차 없는 잠수교 뚜벅뚜벅 축제·책 읽는 서울광장·광화문 책마당 등 주요 행사에서 지역 농특산물 직거래장터를 운영한다고 22일 밝혔다.
 시민이 신선한 지역 농특산물을 만나볼 수 있도록 하는 동시에 농촌에는 새로운 판로를 열어주어 '도농 상생'을 실현할 수 있는 특별 행사다.
 전국 60여개 시·군의 100여개 농가가 참여하는 '서울시 농부의 시장'과 지역 우수 농특산물을 취급하는 '상생상회' 참여 농가들의 상품을 만날 수 있다.

광고



 이달 24일 잠수교 뚜벅뚜벅 축제에서 처음으로 장터가 열리며 10월과 11월에는 책 읽는 서울광장과 광화문 책마당에서도 찾아볼 수 있다.
 정상훈 서울시 행정국장은 ""도심 행사에서 다양한 문화행사를 즐기고, 정성이 가득한 지역의 농특산물도 맛보는 일석이조의 행사가 될 것""이라고 말했다.
 readiness@yna.co.kr

제보는 카카오톡 okjebo
&lt;저작권자(c) 연합뉴스,
무단 전재-재배포 금지&gt;
2023/09/22 06:00 송고

]"
"여가부, 청소년 룸카페 출입·술담배 판매 등 1천800여건 적발","[








계승현 기자
기자 페이지






여름방학 기간 5주간 해수욕장·관광지 등 점검…65건은 수사의뢰







거제 구조라 해수욕장
[경남도 제공. 재판매 및 DB 금지]




 (서울=연합뉴스) 계승현 기자 = 정부가 여름방학을 맞아 전국 번화가의 청소년 유해환경을 점검한 결과 1천800여건의 청소년 보호법 위반 사례가 적발됐다. 
 여성가족부는 여름방학 기간인 지난 7월 17일부터 8월 18일까지 5주간 청소년이 많이 찾는 해수욕장, 야영장, 관광지 등에 대해 점검·단속한 결과를 22일 공개했다. 
 여가부는 지자체, 경찰관서, 민간단체인 청소년유해환경감시단과 함께 청소년 유해업소뿐 아니라 술·담배 등 유해 약물 판매와 유해 표시를 점검했다. 

광고



 그 결과 1천802건의 청소년 보호법 위반행위를 적발했고, 관할 지자체는 65건을 수사의뢰하고 1천737건에 대해 시정명령 통보했다. 
 단속 대상 중에서는 일반음식점이 1천328곳으로 가장 많았고, 편의점 139곳, 노래방 80곳, 유흥주점 66곳 순이었다. 
 최근 청소년 유해업소로 지정된 신·변종 룸카페 8곳(표시의무 미이행 7건·청소년 출입 및 고용 1건)도 적발됐다. 
 여가부는 또 전국의 청소년 유해업소 1만8천603곳을 방문해 사업주 및 종사자를 대상으로 청소년 보호 관련 법령과 제도를 안내했고, 해수욕장 등 관광지에서 청소년 보호 캠페인을 실시했다. 
 여름방학 맞이 청소년 유해환경 점검 단속 실적을 발표한 것은 올해가 처음이다. 






위반행위 단속 건수(수사의뢰 및 시정명령 건수)
[여성가족부 제공. 재판매 및 DB 금지]




 key@yna.co.kr


관련기사



여가부, 청소년에게 술·담배 판매한 업소 등 22건 수사의뢰
서울시, 여름방학 맞아 신·변종 청소년 유해업소 집중단속




제보는 카카오톡 okjebo
&lt;저작권자(c) 연합뉴스,
무단 전재-재배포 금지&gt;
2023/09/22 06:00 송고

]"
"[게시판] 국표원, 제45차 국제표준화기구 연례회의 참석","[








이슬기 기자
기자 페이지











국가기술표준원 전경
[국가기술표준원 제공=연합뉴스]




 ▲ 산업통상자원부 국가기술표준원은 18∼22일 호주 브리즈번에서 열린 '제45차 국제표준화기구(ISO) 연례회의'에 참석했다고 22일 밝혔다. 앞서 한국은 ISO 정책의 최고 의결기구인 이사국 진출에 성공했다. 김세종 한국산업기술시험원장은 2024∼2026년 이사회 위원으로 활동하며 ISO의 정책 결정 과정에 주도적으로 참여할 예정이다. (서울=연합뉴스)

광고





제보는 카카오톡 okjebo
&lt;저작권자(c) 연합뉴스,
무단 전재-재배포 금지&gt;
2023/09/22 06:00 송고

]"
"롯데마트, 1천500여개 협력사에 200억원대 납품대금 조기 지급","[








전성훈 기자
기자 페이지





 (서울=연합뉴스) 전성훈 기자 = 롯데마트는 추석 연휴를 앞두고 1천500여개 중소 협력사에 200억원 상당의 납품대금을 조기 지급한다고 22일 밝혔다. 
 롯데마트는 고물가·고금리 여파로 중소기업의 경영 환경이 악화하고 있다고 판단해 원래 다음 달 초로 예정된 대금 지급일을 오는 25일로 앞당기기로 했다.
 이를 통해 명절 기간 중소 협력사들의 자금 운용이 한층 원활해질 것으로 롯데마트는 기대했다. 

광고



 롯데마트는 이외에도 동반성장펀드, ESG(환경·사회·지배구조) 경영 컨설팅 등 중소 협력사를 위한 다양한 상생 프로그램을 운영하고 있다. 
 진주태 준법지원부문장은 ""롯데마트가 가진 ESG 경영 전문성과 유통 노하우를 토대로 중소 협력사들과 동반 성장할 수 있도록 지속해 노력할 것""이라고 말했다. 







롯데마트 양평점 전경 [롯데마트 제공. 재판매 및 DB 금지] 




 lucho@yna.co.kr

제보는 카카오톡 okjebo
&lt;저작권자(c) 연합뉴스,
무단 전재-재배포 금지&gt;
2023/09/22 06:00 송고

]"
"서울시, 새 신속통합 재개발 후보지로 서대문구 홍제동 선정","[








김준태 기자
기자 페이지











서대문구 홍제공 267-1번지 일대
[서울시 제공. 재판매 및 DB 금지]




 (서울=연합뉴스) 김준태 기자 = 서울시는 21일 4차 신속통합기획 민간재개발 후보지 선정위원회를 열어 서대문구 홍제동 267-1번지 일대를 선정했다고 22일 밝혔다.
 심의는 지난달까지 자치구에서 시로 추천한 주민신청 구역 중 최종적으로 심의 요청된 곳을 대상으로 진행됐다.
 관계 전문가와 시의원 등으로 구성된 선정위원회가 재개발 여건에 적합한 구역 중 침수 우려 등 안전에 취약한 반지하주택 비율, 노후 불량주거지 등을 고려해 선정했다.

광고



 후보지로 선정된 구역은 올해 하반기부터 신속통합기획을 적용한 정비계획 수립용역에 착수한다.
 이번에 선정된 후보지를 포함해 신속통합기획 민간재개발 후보지는 총 49곳이 됐다.
 재개발 후보지 투기 방지 대책에 따라 올해 선정된 구역의 권리산정기준일은 작년 1월28일로 적용 고시하고 권리산정기준일 다음 날을 기준으로 건축물의 분양받을 권리를 산정한다.
 시는 또 후보지로 선정된 구역뿐만 아니라 선정되지 않은 구역도 행정 절차를 걸쳐 건축허가제한구역과 토지거래허가구역으로 지정할 예정이다.
 신속통합기획은 민간이 주도하는 재개발·재건축 초기 단계부터 서울시가 개입해 사업성과 공공성이 적절하게 결합한 정비계획안을 짜서 신속한 사업 추진을 지원하는 제도다.
 한병용 서울시 주택정책실장은 ""선정된 후보지는 재개발 사업 추진에 대한 주민 의지가 높고 반지하 비율이 높아 주거환경 개선이 필요한 지역""이라며 ""인근 홍제3주택재개발구역 등 주변 지역과 연계해 보행환경을 개선할 수 있을 것으로 기대된다""고 말했다.
 readiness@yna.co.kr

제보는 카카오톡 okjebo
&lt;저작권자(c) 연합뉴스,
무단 전재-재배포 금지&gt;
2023/09/22 06:00 송고

]"
바이오산업계 규제개선 방안 모색…서울시 현장 간담회,"[








김준태 기자
기자 페이지











서울시, 바이오 기업 규제혁신을 위한 현장 간담회
[서울시 제공. 재판매 및 DB 금지]




 (서울=연합뉴스) 김준태 기자 = 서울시는 21일 동대문구 서울 바이오허브에서 '규제혁신 현장 간담회'를 열었다고 22일 밝혔다.
 바이오 분야의 규제 개선 과제를 발굴하고 이를 개선하는 방안을 모색하는 자리다. 
 이날 간담회에서는 임상시험 절차와 관련한 기업 애로사항이 많이 제기됐다고 시는 설명했다.

광고



 일례로 간담회에 참가한 한 기업은 사전검사 등 각종 절차를 온라인으로 진행할 수 있는 '온라인 분산형 임상시험 솔루션'을 개발했다. 하지만 현행법상 사전검사는 지정된 기관에서만 하도록 명시돼있어 해당 프로그램을 우리나라에서 활용하기는 어렵다.
 이 기업은 사전검사를 온라인으로 받을 수 있도록 법이 단번에 바뀌긴 어렵겠지만, 최소한 집과 가까운 보건소 등에서도 사전검사를 받을 수 있도록 하는 등 차츰 규제가 완화돼야 한다고 지적했다.
 또 비대면 진료와 같은 규제가 선행적으로 완화돼야 바이오 기업들도 비대면 진단기구를 활발히 개발하는 등 해당 업계가 성장할 수 있다는 건의도 나왔다.
 시는 간담회에서 제기된 기업의 건의 사항을 모아 정부에 적극 건의할 예정이다.
 최판규 서울시 경제정책과장은 ""빠른 성장세를 보이는 바이오산업의 성장을 위한 기술혁신과 시장 사업화를 위해서는 규제 개선이 동시에 진행돼야 한다""며 ""기업 현장의 애로사항을 정부에 전달하고 실질적인 규제 개선을 끌어내겠다""고 말했다.
 readiness@yna.co.kr

제보는 카카오톡 okjebo
&lt;저작권자(c) 연합뉴스,
무단 전재-재배포 금지&gt;
2023/09/22 06:00 송고

]"
지정감사인 부당행위 막는다…거래소에 분쟁조정 기구 설치,"[








임수정 기자
기자 페이지






'외부감사 및 회계 등에 관한 규정' 개정안 입법예고

 (서울=연합뉴스) 임수정 기자 = 기업들이 지정감사인의 부당행위를 신고할 수 있는 중립 기구가 한국거래소 내 설치된다. 
 금융위원회는 이런 내용을 담은 '외부감사 및 회계 등에 관한 규정' 개정안에 대한 규정 변경 예고를 실시한다고 22일 밝혔다.
 개정안은 지정감사인 부당행위 관련 분쟁 조정 업무를 수행하는 '자율분쟁 조정 협의회'를 한국거래소(중소기업 회계지원센터)에 설치·운영하도록 했다.

광고



 기업들이 지정감사인의 과도한 감사 보수, 무리한 자료 제출 등에 대한 부담을 토로해온 데 따른 것이다.
 자율분쟁 조정 협의회는 회계 또는 회계감사에 관한 전문성을 보유한 위원(7인 이내)으로 구성된다. 
 이들은 지정감사인 부당행위 신고에 대한 사실관계 조사와 당사자(기업, 감사인) 의견 청취를 통해 자율조정안을 제시한다.
 감사인이 합리적 이유 없이 조정안을 거부하는 경우 금융감독원에 지정 취소를 건의하게 된다. 
 이밖에 거래소가 소규모(자산 1천억 미만) 상장사의 가치평가 용역 수행을 지원하는 내용도 개정안에 포함됐다.






금융위원회
[금융위원회 제공]




 sj9974@yna.co.kr

제보는 카카오톡 okjebo
&lt;저작권자(c) 연합뉴스,
무단 전재-재배포 금지&gt;
2023/09/22 06:00 송고

]"
"국토부, 26일 화생방 테러 대응 유관기관 합동훈련","[








이승연 기자
기자 페이지






국토부 항공교통본부·119특수구조대·경찰청·환경청·보건소 참여







국토교통부
[국토교통부 제공]




 (서울=연합뉴스) 이승연 기자 = 국토교통부 항공교통본부는 오는 26일 '화생방 테러대응 유관기관 합동훈련'을 실시한다고 22일 밝혔다.
 이번 훈련에는 국토부 항공교통본부, 119특수구조대, 경찰청, 환경청, 보건소 등 5개 기관이 참여한다.
 훈련은 항공교통본부로 배달된 택배상자에서 미상의 기체가 누출되며 인명피해가 발생하는 상황을 가정해 실제와 같이 진행된다.

광고



 119구급차 등 차량 6대와 정밀복합가스측정기, 제독기 등 화학장비가 동원된다.
 훈련 순서는 항공교통본부의 초동 대응, 경찰청의 현장 통제, 119특수구조대의 인명구조 및 검체 탐지, 환경청의 미상 물질 탐지, 보건소의 응급의료실 설치, 119특수구조대의 제독 순이다. 
 이를 통해 테러 발생 시 신속한 인명구조와 초기 대응, 유관기관의 협력체계를 점검한다.
 김상수 항공교통본부장은 ""국가중요시설에 대한 테러는 국민의 안전은 물론 사회·경제 전반에 미치는 영향이 무척 큰 만큼 유관기관과의 긴밀한 협조 아래 실질적인 대응 역량과 체계를 갖출 수 있는 내실 있는 훈련이 되길 바란다""며 ""어떤 위기에도 대응할 수 있는 완벽한 국가 비상대비 태세를 확립하기 위해 최선의 노력을 다하겠다""고 밝혔다.
 winkite@yna.co.kr

제보는 카카오톡 okjebo
&lt;저작권자(c) 연합뉴스,
무단 전재-재배포 금지&gt;
2023/09/22 06:00 송고

]"
"대법, '임금체불' 목사 벌금형 확정…""교회 전도사도 근로자""","[








황윤기 기자
기자 페이지






임금·퇴직금 6천800만원 체불…근로기준법 위반 유죄







대법원
[연합뉴스 자료사진]




 (서울=연합뉴스) 황윤기 기자 = 교회에서 일하는 전도사도 근로기준법상 근로자가 맞는다는 대법원 판결이 나왔다.
 22일 법조계에 따르면 대법원 2부(주심 민유숙 대법관)는 근로기준법·근로자퇴직급여보장법 위반 혐의로 기소된 목사 이모(69)씨에게 벌금 500만원을 선고한 원심판결을 지난달 31일 확정했다.
 강원 춘천시의 교회 담임목사 이씨는 2012년 10월부터 2018년 6월까지 근무하다 퇴직한 전도사의 임금 7천995만원과 퇴직금 1천758만원을 지급하지 않은 혐의로 기소됐다.

광고



 재판의 쟁점은 근로기준법에 따라 이씨를 사용자로, 전도사를 근로자로 인정할 수 있는지였다. 1심은 근로자가 아니라고 보고 무죄를 선고했다. 반면 2심은 근로자가 맞는다며 벌금 700만원을 선고했다.
 당시 2심 재판부는 전도사가 교회에서 매달 받는 돈이 유일한 수입이었던 점, 이씨가 전도사를 건강보험공단과 국민연금공단에 '직장가입자'로 신고한 점 등을 근거로 들었다.
 대법원은 작년 6월 전도사를 근로자로 인정한 원심 판단에 잘못이 없다고 봤다. 다만 임금 중 일부는 소멸시효가 지나 지급 의무가 없다고 보고 체불액을 다시 계산하라며 사건을 파기환송했다.
 이에 파기환송심을 맡은 춘천지법은 이씨가 임금 5천151만원과 퇴직금 1천722만원을 체불한 것으로 인정해 벌금 500만원을 선고했다.
 이씨는 재차 대법원 판단을 받겠다며 불복했으나 대법원은 ""원심 판단에 근로자성 판단 등에 관한 법리를 오해한 잘못이 없다""며 상고를 기각해 판결을 확정했다.
 water@yna.co.kr

제보는 카카오톡 okjebo
&lt;저작권자(c) 연합뉴스,
무단 전재-재배포 금지&gt;
2023/09/22 06:00 송고

]"
"서울신용보증재단, 음식점 위생환경 개선 추진","[








김준태 기자
기자 페이지






관악 별빛신사리 상권부터…한국식품안전관리인증원과 협약







서울신용보증재단
[연합뉴스 자료사진]




 (서울=연합뉴스) 김준태 기자 = 서울신용보증재단은 서울시 내 음식점의 위생환경 개선을 추진한다고 22일 밝혔다.
 재단은 이달 8일 한국식품안전관리인증원과 '서울시 음식점 위생환경 개선 사업'을 위한 업무협약을 체결했다.
 이번 협약으로 재단은 점포 환경 개선의 의지가 있는 소상공인을 발굴해 인증원의 '위생등급 기술지원'을 받을 수 있도록 추천한다. 

광고



 위생등급 기술지원은 현장 방문으로 가게의 위생 수준을 진단한 뒤 개선사항을 안내해 등급 지정까지 맞춤형으로 지원하는 프로그램이다. 위생등급 지정시 배달 앱이나 네이버 플레이스 등에 이를 표시할 수 있다.
 재단은 우선 관악르네상스 상권(별빛신사리) 내 상인과 골목창업학교 수료생 창업자를 대상으로 참여 점포를 발굴하고 순차적으로 기술지원에 나선다는 방침이다.
 추후 참여 점포를 대상으로 만족도 조사와 위생등급 지정 이후 매출의 변화를 파악해 지원 대상을 확대한다.
 재단은 기술지원 가게뿐 아니라 상권 전체가 '음식점 위생등급 특화구역'으로 지정될 수 있도록 각 자치구와 연계해 로드맵을 마련할 계획이다.
 주철수 서울신용보증재단 이사장은 ""식품 안전에 대한 사회적인 관심이 증대되는 시점에 소상공인을 위한 실질적인 지원이 될 것""이라고 말했다.
 readiness@yna.co.kr

제보는 카카오톡 okjebo
&lt;저작권자(c) 연합뉴스,
무단 전재-재배포 금지&gt;
2023/09/22 06:00 송고

]"
작년 법원에 영장사건 49만건…발부율 91％·10년새 41% 증가,"[








황윤기 기자
기자 페이지






대부분 압수·수색·검증 영장…'까다로워진 수사 상황 반영' 해석도







법원 로고
[촬영 이율립]




 (서울=연합뉴스) 황윤기 기자 = 지난해 전국 법원에 접수된 영장 청구가 49만8천472건에 이르는 것으로 집계됐다.
 22일 대법원 사법연감에 따르면 법원은 이 중 45만5천485건(91.4％)을 발부하고 4만2천985건(8.6％)은 기각했다.
 대부분은 압수·수색·검증 영장으로 39만6천832건이 청구됐다. 이 중 36만1천630건(91.1％)이 발부되고 3만5천202건이 기각됐다.

광고



 기각된 것 중 3만1천583건은 청구 범위 중 일부만 기각한 것이어서 실질적 발부율은 더 높다고 볼 수 있다.
 구속영장은 2만2천590건 중 1만8천384건(81.4％)이 발부됐다. 법원이 직권으로 발부한 구속영장도 2만8천284건에 달했다.
 이밖에 통신사실확인자료 제공 요청이 4만9천378건, 체포영장이 2만7천414건이었다.
 지난해 직권 발부까지 포함한 법원의 전체 영장 사건은 52만6천756건으로 2021년 48만6천697건과 비교해 8.2％ 증가했다. 2013년 37만2천984건에 비해 41.2％ 늘어나는 등 해마다 건수가 늘고 있다.
 수사기관의 영장 청구가 과도한 것 아니냐는 지적도 있다. 사건이 복잡해지고 증거에 대한 법리가 엄격해져 불가피한 측면이 있다는 반론도 제기된다.
 영장에 대한 법원의 통제가 강화되면서 압수수색 대상물이나 장소에 따라 영장을 개별적으로 청구해야 하는 상황도 영장 사건 증가의 원인으로 꼽힌다.
 전체 형사사건은 영장 사건을 포함해 지난해 총 151만7천547건이 접수됐다. 141만9천293건이 접수된 전년 대비 6.9％ 늘었다.
 이중 정식 공판 사건은 31만502건, 약식명령 사건은 41만6천410건, 즉결 사건은 13만5천327건으로 집계됐다. 
 형사 공판 사건의 평균 처리 기간은 구속 여부와 1심의 단독·합의 재판 여부에 따라 달랐다.
 사형이나 무기, 1년 이상의 징역이나 금고에 해당하는 사건은 통상 판사 세 명으로 구성된 합의부가 1심 재판을 맡는다. 나머지는 판사 한 명이 심리·판결하는 단독 재판부 몫이다.
 구속 피고인의 경우 형사단독 사건이면 1심 선고까지 116일, 2심 선고까지 99일, 3심 선고까지 42일 걸렸다. 합의부 사건은 1심 선고까지 141일, 2심 선고까지 127일, 3심 선고까지 55일이 소요됐다.
 불구속 피고인의 경우 형사단독 사건은 1심까지 182일, 2심까지 274일, 3심까지 101일 소요됐다. 합의부 사건이면 1심 선고까지 223일, 2심 선고까지 191일, 3심 선고까지 173일이 걸렸다.
 국민참여재판은 지난해 전국 법원에 811건의 신청이 접수됐다.
 전년도 접수건 등을 포함해 법원이 처리한 것 중 실제 국민참여재판으로 진행된 건은 92건(11.3％)에 불과했다. 법원이 241건(29.7％)을 배제 결정했고 480건(59％)은 자진 철회했다.
 water@yna.co.kr


관련기사



'어느 세월에'…민사 1심 선고까지 평균 14개월 재판지연 심화
작년 소년범 재판 21％ 증가…10명중 6명 보호처분




제보는 카카오톡 okjebo
&lt;저작권자(c) 연합뉴스,
무단 전재-재배포 금지&gt;
2023/09/22 06:00 송고

]"
